day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20210307,77371076,0,r,R,56.66212986108753,43.23124754540918,34.463443756103516,25.831209182739258,55.35709762573242,8.001280784606934,2.3232614994049072,98.44487762451172,50,0.029146937653422356,0.019312765449285507,10.0,60.0,10.0,2.3224340915747423,61.0,63.0,57.0,57.0,3.0,74.0
20210307,77371079,0,r,R,56.661531267273936,43.23109828620593,41.343814849853516,29.9368953704834,2825.337158203125,42.87118911743164,2.6981382369995117,116.65753173828125,97,0.013827608898282051,0.006562464404851198,450.0,66.0,126.0,2.699163534878712,116.0,128.0,111.0,110.0,15.0,159.0
20210307,77371080,0,i,I,56.661547158437784,43.23110757636835,42.79241180419922,29.554689407348633,1879.327392578125,38.082275390625,2.8862528800964355,129.8521270751953,46,0.018471570685505867,0.009234383702278137,450.0,61.0,139.0,2.884398196419247,57.0,67.0,107.0,100.0,8.0,90.0
20210322,77524083,0,r,R,56.65916274380513,43.23198093833523,41.94314956665039,25.733152389526367,130.30056762695312,10.219474792480469,2.3033711910247803,85.40538787841797,36,0.039577286690473557,0.02257782220840454,10.0,48.0,6.0,2.3029836612200985,46.0,47.0,44.0,44.0,3.0,55.0
20210322,77524086,0,r,R,56.65938199002598,43.23119789613733,48.593109130859375,30.14235496520996,8709.255859375,78.33316040039062,2.6630823612213135,115.10979461669922,71,0.017665697261691093,0.011769314296543598,600.0,69.0,142.0,2.662809852499551,97.0,115.0,89.0,85.0,33.0,136.0
20210322,77524087,0,i,I,56.659474338632,43.23117124493973,50.44441223144531,29.8004150390625,5284.0625,70.19689178466797,2.4792087078094482,101.58512878417969,51,0.015603180974721909,0.009518963284790516,600.0,66.0,155.0,2.477390642033178,66.0,79.0,114.0,102.0,9.0,102.0
20210325,77555038,0,r,R,56.661556635592916,43.23393388132444,45.94565200805664,25.333202362060547,337.0471496582031,15.20620059967041,2.7000627517700195,117.89486694335938,21,0.03185185417532921,0.019990522414445877,10.0,24.0,12.0,2.7006623677595334,24.0,27.0,22.0,22.0,2.0,30.0
20210707,78632132,0,r,R,56.685103942166066,43.20954031878803,58.89434814453125,25.785158157348633,64.05340576171875,8.433307647705078,2.2455577850341797,82.73072814941406,45,0.05237520486116409,0.02396637387573719,10.0,60.0,3.0,2.2454814807242283,54.0,54.0,52.0,52.0,3.0,65.0
20210707,78632133,0,r,R,56.686235328502924,43.20954215324513,57.577999114990234,30.224876403808594,7043.57666015625,71.90675354003906,2.5051348209381104,101.789794921875,85,0.013665632344782352,0.007484058849513531,600.0,60.0,160.0,2.505470783495597,103.0,117.0,109.0,108.0,20.0,147.0
20210707,78632134,0,i,I,56.686242088436856,43.2095815162641,55.78600311279297,29.886276245117188,29710.279296875,175.48672485351562,2.5342586040496826,129.99026489257812,5,0.03992186859250069,0.026384171098470688,600.0,59.0,67.0,2.5452334283023794,30.0,34.0,25.0,22.0,34.0,46.0
