day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20230626,86008165,0,r,R,210.92810282828015,54.29950110214233,48.367916107177734,26.966297149658203,86.74272155761719,9.403709411621094,2.339486598968506,82.73516845703125,12,0.021228546276688576,0.013976313173770905,30.0,9.0,16.0,2.3307997222267463,13.0,13.0,15.0,15.0,0.0,13.0
20230626,86008166,0,i,I,210.92835116142638,54.29943513619014,48.5598258972168,26.68494415283203,96.13015747070312,9.8427095413208,2.629554271697998,106.01338958740234,7,0.024334006011486053,0.01653103530406952,30.0,8.0,23.0,2.61438843724252,8.0,7.0,13.0,13.0,0.0,10.0
20230626,86008167,0,i,I,210.92839540276682,54.2994787173942,48.71064376831055,26.715879440307617,96.82319641113281,9.820844650268555,2.3064064979553223,80.1031723022461,9,0.01668812520802021,0.011837962083518505,30.0,8.0,20.0,2.296746366466697,10.0,9.0,14.0,14.0,0.0,11.0
20230626,86008168,0,i,I,210.92839771656338,54.29946318589571,48.86141586303711,26.681636810302734,96.69761657714844,9.868074417114258,2.530982732772827,95.4856948852539,7,0.017796961590647697,0.00832630880177021,30.0,8.0,10.0,2.5239946602754224,8.0,7.0,12.0,12.0,1.0,8.0
20230626,86008169,0,i,I,210.9283408325663,54.29946146898453,49.012123107910156,26.7020263671875,97.07865905761719,9.844111442565918,2.2937889099121094,81.07881164550781,8,0.01082916371524334,0.008237305097281933,30.0,8.0,18.0,2.2837152599935706,10.0,10.0,12.0,12.0,0.0,11.0
20230626,86008170,0,i,I,210.92835827833974,54.299493571326764,49.16269302368164,26.6755428314209,97.4283447265625,9.88810920715332,2.3980917930603027,87.7528076171875,8,0.01847267709672451,0.007065289653837681,30.0,7.0,12.0,2.3863107206990124,9.0,8.0,14.0,14.0,1.0,10.0
20230630,86049076,0,r,R,210.90679986457477,54.308173962389375,19.262922286987305,25.860380172729492,233.91961669921875,12.87272834777832,2.445451021194458,79.14525604248047,8,0.0375281423330307,0.022657735273241997,10.0,9.0,9.0,2.4433703242582676,10.0,10.0,8.0,8.0,0.0,11.0
20230630,86049085,0,r,R,210.90647097404394,54.308188243621984,20.771976470947266,27.094480514526367,259.09661865234375,13.964394569396973,3.6360039710998535,169.20156860351562,6,0.026569673791527748,0.006205461919307709,30.0,5.0,14.0,3.6434907138923234,8.0,9.0,7.0,7.0,0.0,8.0
20230630,86049086,0,r,R,210.90648448196873,54.30824532612984,20.87669563293457,27.09865951538086,251.5552520751953,14.105278015136719,1.9262701272964478,56.69712829589844,14,0.01839641109108925,0.006275850348174572,30.0,10.0,11.0,1.9242008525597218,15.0,16.0,18.0,18.0,0.0,16.0
20230630,86049087,0,r,R,210.83970383962776,54.370717776259184,21.05437469482422,24.553306579589844,245.70980834960938,14.321017265319824,2.308610677719116,68.10315704345703,9,5.753062956581623e-11,3.4353429823053006e-11,30.0,3.0,13.0,2.3090991733912194,10.0,2.0,12.0,12.0,0.0,12.0
