target,day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
2020wnt,20210713,78694145,0,i,I,56.6610742967858,43.22168822151672,54.141300201416016,29.729259490966797,3005.366943359375,46.98313522338867,3.072683334350586,142.4156494140625,42,0.021674945950508118,0.011393729597330093,600.0,63.0,157.0,3.0730268784518002,58.0,73.0,96.0,94.0,11.0,95.0
2020wnt,20210716,78725143,0,r,R,56.660332329208025,43.21389161255727,59.48610305786133,25.760177612304688,39.749168395996094,8.471152305603027,2.1345372200012207,77.21733093261719,52,0.046824824064970016,0.0210633035749197,10.0,71.0,8.0,2.133848294983287,62.0,64.0,59.0,59.0,7.0,75.0
2020wnt,20210716,78725146,0,r,R,56.660579033826586,43.21415065774583,53.25190353393555,30.226470947265625,2496.877197265625,44.57925796508789,2.3840248584747314,92.6031494140625,106,0.013397140428423882,0.006723134312778711,600.0,74.0,164.0,2.3822791013110325,127.0,137.0,133.0,127.0,22.0,175.0
2020wnt,20210716,78725147,0,i,I,56.660510500373356,43.214247598073804,51.41040802001953,29.885238647460938,3621.900390625,55.13276290893555,2.3128180503845215,86.47091674804688,90,0.018380170688033104,0.010048733092844486,600.0,66.0,139.0,2.3083964334575477,111.0,122.0,133.0,130.0,22.0,158.0
2020wnt,20210722,78787131,0,r,R,56.66090206729209,43.20830970637701,56.731101989746094,25.755109786987305,91.79165649414062,9.520627975463867,1.6933116912841797,51.41617965698242,46,0.034853745251894,0.018167590722441673,10.0,75.0,6.0,1.6912175697452458,55.0,57.0,71.0,70.0,3.0,60.0
2020wnt,20210725,78818128,0,r,R,56.65877533154499,43.21372248861364,56.55204772949219,25.57961654663086,174.34536743164062,11.993292808532715,1.9889767169952393,66.00733947753906,32,0.04068285599350929,0.019765526056289673,10.0,51.0,5.0,1.9991603198742596,41.0,41.0,45.0,45.0,4.0,44.0
2020wnt,20210811,78991119,0,r,R,56.65911016439009,43.20815655023837,44.69732666015625,25.734371185302734,32.177337646484375,7.4189982414245605,1.425472378730774,39.40098190307617,58,0.03168935328722,0.01684892177581787,10.0,79.0,4.0,1.4250124064958467,64.0,68.0,83.0,83.0,4.0,68.0
2020wnt,20210811,78991122,0,r,R,56.65909347216019,43.208514544192894,38.80818557739258,30.18739128112793,1873.614501953125,35.750118255615234,1.8819401264190674,59.282264709472656,126,0.01073464285582304,0.0063744098879396915,600.0,63.0,189.0,1.880903479807326,158.0,174.0,146.0,141.0,53.0,212.0
2020wnt,20210811,78991123,0,r,R,56.65914812222836,43.20850924221852,36.891082763671875,30.194910049438477,1841.82275390625,35.33246994018555,1.833554744720459,57.508399963378906,119,0.010713784955441952,0.005682210437953472,600.0,62.0,153.0,1.8328627950994205,158.0,181.0,146.0,138.0,54.0,214.0
2020wnt,20210811,78991124,0,i,I,56.659173507039284,43.20860826083114,34.91860580444336,29.82028579711914,1523.7850341796875,33.73952102661133,1.7705442905426025,54.520442962646484,135,0.013139698654413223,0.006890860386192799,600.0,62.0,172.0,1.7698996741461366,167.0,193.0,172.0,167.0,37.0,250.0
2020wnt,20210811,78991125,0,i,I,56.65927612778024,43.20863442647524,32.83556365966797,29.817777633666992,1487.9375,33.57740783691406,1.9205169677734375,63.735626220703125,121,0.012484329752624035,0.004566109273582697,600.0,63.0,153.0,1.9199528414384948,158.0,176.0,167.0,157.0,49.0,224.0
2020wnt,20210826,79145135,0,r,R,56.66190719705425,43.20835430022293,24.36258888244629,25.839982986450195,59.68614959716797,8.071261405944824,1.6515815258026123,49.54827880859375,60,0.026519879698753357,0.01448744349181652,10.0,87.0,4.0,1.6517084632096266,67.0,70.0,80.0,80.0,1.0,75.0
2020wnt,20210826,79145137,0,r,R,56.66191031487021,43.20855009692893,20.966930389404297,30.282367706298828,3541.562744140625,48.84854507446289,1.9735994338989258,65.16453552246094,118,0.010858944617211819,0.005130236502736807,600.0,65.0,169.0,1.9729194656662885,154.0,175.0,139.0,136.0,36.0,213.0
2020wnt,20210826,79145138,0,i,I,56.66205546195589,43.20855447936341,19.054248809814453,29.911916732788086,2286.21435546875,39.882041931152344,1.9153730869293213,61.94450759887695,132,0.013909568078815937,0.007172816898673773,600.0,67.0,193.0,1.9137157359478236,171.0,197.0,170.0,165.0,40.0,254.0
2020wnt,20210826,79145140,0,r,R,56.66260922177038,43.208536252254326,14.95012092590332,30.288488388061523,3766.66796875,51.102264404296875,1.951612114906311,62.00316619873047,104,0.008857675828039646,0.0046078599989414215,600.0,63.0,152.0,1.9506725768158557,137.0,154.0,141.0,136.0,27.0,189.0
2020wnt,20210826,79145141,0,i,I,56.6630488338262,43.20843323460851,13.125019073486328,29.92403221130371,4569.6591796875,56.7373046875,1.7441620826721191,52.9945068359375,117,0.01597779057919979,0.009018202312290668,600.0,64.0,140.0,1.7418906513380743,154.0,174.0,161.0,151.0,53.0,216.0
2020wnt,20210917,79372130,0,r,R,56.680968836461986,43.217491346847396,6.287104606628418,25.872669219970703,19.570812225341797,6.95574426651001,1.5270565748214722,43.88467025756836,62,0.02859256975352764,0.015204794704914093,10.0,82.0,7.0,1.526369434715551,69.0,71.0,81.0,81.0,3.0,77.0
2020wnt,20210917,79372131,0,r,R,56.68105375822425,43.21756539143019,5.997999668121338,30.396263122558594,1250.208984375,30.56123161315918,1.8609187602996826,57.229095458984375,107,0.01167009212076664,0.005699628964066505,650.0,50.0,215.0,1.8604053035441774,127.0,149.0,135.0,134.0,42.0,182.0
2020wnt,20210917,79372132,0,r,R,56.68110209836011,43.21762184162912,6.262432098388672,30.391590118408203,1264.9326171875,31.19037628173828,1.947787880897522,62.848873138427734,101,0.012549927458167076,0.00704156281426549,650.0,48.0,203.0,1.9474324322004137,123.0,145.0,133.0,130.0,36.0,183.0
2020wnt,20210917,79372133,0,i,I,56.68113486122515,43.21760607492164,7.281202793121338,30.03550148010254,1657.822265625,36.00962448120117,1.9050822257995605,60.321144104003906,101,0.01162776630371809,0.005561921279877424,650.0,51.0,201.0,1.9047264776224506,127.0,148.0,156.0,151.0,53.0,188.0
2020wnt,20210917,79372134,0,i,I,56.68118037014216,43.21762693187803,8.78006362915039,30.045276641845703,1897.492431640625,38.768253326416016,1.9532877206802368,60.9920768737793,91,0.013902604579925537,0.008598477579653263,650.0,51.0,196.0,1.952973200522214,117.0,135.0,147.0,134.0,45.0,178.0
2020wnt,20210924,79444111,0,r,R,56.68347421259536,43.21197119690514,19.157941818237305,25.114994049072266,402.59503173828125,16.275766372680664,1.9306235313415527,70.52078247070312,25,0.02874494157731533,0.01777416653931141,10.0,36.0,9.0,1.9304059914462839,28.0,28.0,31.0,31.0,1.0,28.0
2020wnt,20210924,79444112,0,r,R,56.68359173750346,43.21219669250346,17.60521697998047,29.72115135192871,24427.9609375,140.21917724609375,2.2247531414031982,85.2733154296875,47,0.019136499613523483,0.012734257616102695,650.0,69.0,128.0,2.2242975435083157,60.0,63.0,71.0,70.0,28.0,78.0
2020wnt,20210924,79444113,0,i,I,56.683649999462794,43.212179801449174,15.581101417541504,29.559932708740234,16131.087890625,117.29335021972656,2.1316869258880615,80.64811706542969,56,0.014668711461126804,0.008849619887769222,650.0,61.0,108.0,2.1323194730403072,69.0,78.0,87.0,83.0,27.0,97.0
2020wnt,20210924,79444114,0,r,R,56.6837344903186,43.21221327022907,13.238678932189941,29.981632232666016,18710.892578125,115.65845489501953,2.03118634223938,73.36853790283203,72,0.012993067502975464,0.007444622926414013,650.0,63.0,90.0,2.0326556615253697,88.0,91.0,89.0,86.0,45.0,109.0
2020wnt,20210924,79444115,0,i,I,56.68381527094445,43.212227554514406,11.335714340209961,29.653383255004883,14465.44921875,112.98844146728516,1.989587664604187,65.74110412597656,62,0.014875717461109161,0.0068158311769366264,650.0,59.0,158.0,1.9898087722400883,79.0,88.0,107.0,105.0,33.0,110.0
2020wnt,20210927,79475141,0,r,R,56.690832771927234,43.221181017389554,9.949562072753906,25.827938079833984,68.77164459228516,9.05840015411377,2.13727068901062,58.411659240722656,40,0.03561176732182503,0.023785686120390892,10.0,49.0,9.0,2.129337329175594,54.0,56.0,49.0,49.0,6.0,64.0
2020wnt,20210927,79475142,0,r,R,56.690965453150824,43.221266653928126,10.966736793518066,30.35809326171875,4600.13671875,54.844024658203125,2.536463737487793,83.62090301513672,85,0.011396249756217003,0.005520694889128208,650.0,52.0,193.0,2.5322263923678787,128.0,142.0,100.0,93.0,31.0,174.0
2020wnt,20210927,79475143,0,r,R,56.69098625735883,43.22130631864385,12.854007720947266,30.361835479736328,4796.01220703125,57.821922302246094,2.296658754348755,72.19721221923828,108,0.009264103136956692,0.005554437171667814,650.0,57.0,169.0,2.295008728365731,135.0,148.0,122.0,117.0,52.0,177.0
2020wnt,20210927,79475144,0,i,I,56.69106475364003,43.2212962255973,14.853485107421875,30.027793884277344,6167.9560546875,70.78633880615234,2.258958578109741,70.80008697509766,84,0.01329126488417387,0.00828282255679369,650.0,60.0,147.0,2.2603707809555496,117.0,126.0,113.0,105.0,54.0,161.0
2020wnt,20210927,79475145,0,i,I,56.69110552742142,43.221338284847974,16.867115020751953,30.011259078979492,8513.3896484375,107.04606628417969,2.2651257514953613,70.82125091552734,51,0.016521545127034187,0.010259926319122314,650.0,62.0,159.0,2.2646442714623922,70.0,77.0,85.0,76.0,34.0,96.0
2020wnt,20211001,79517139,0,r,R,56.6827210741943,43.21964446694124,19.8009033203125,25.805194854736328,32.34293746948242,7.956303596496582,2.083120107650757,82.34580993652344,51,0.03521768003702164,0.025878479704260826,10.0,67.0,10.0,2.078911936517848,60.0,61.0,61.0,61.0,9.0,70.0
2020wnt,20211001,79517140,0,r,R,56.683000982708485,43.21952034919433,18.316144943237305,30.360790252685547,2074.176513671875,39.67220687866211,2.052795886993408,74.75371551513672,95,0.009191162884235382,0.004680980928242207,650.0,48.0,176.0,2.053158759790937,120.0,134.0,126.0,126.0,25.0,165.0
2020wnt,20211001,79517141,0,r,R,56.68303962336577,43.21959290001137,16.291112899780273,30.368755340576172,2060.113525390625,38.82728576660156,2.0206615924835205,70.1014633178711,83,0.009771592915058136,0.005091420840471983,650.0,46.0,224.0,2.0206760205604217,107.0,122.0,118.0,117.0,31.0,150.0
2020wnt,20211001,79517142,0,i,I,56.6830639537356,43.21960816461629,14.257100105285645,30.03084945678711,2359.02001953125,45.333457946777344,1.9181082248687744,63.244956970214844,87,0.011496522463858128,0.0076662576757371426,650.0,47.0,179.0,1.9176007655275664,108.0,123.0,142.0,139.0,34.0,158.0
2020wnt,20211001,79517143,0,i,I,56.68311803167858,43.21965136895187,12.322702407836914,30.0305233001709,2273.37255859375,44.88894271850586,1.9334582090377808,62.18338394165039,91,0.012405116111040115,0.0064858500845730305,650.0,49.0,185.0,1.9343999067249478,108.0,123.0,139.0,138.0,32.0,157.0
2020wnt,20211005,79559111,0,r,R,56.68400370547877,43.21676211056601,6.2197675704956055,25.554363250732422,44.14326095581055,8.120737075805664,1.7584455013275146,53.75830078125,46,0.036876607686281204,0.0192362442612648,10.0,71.0,7.0,1.7573065779539052,54.0,56.0,65.0,65.0,3.0,59.0
2020wnt,20211005,79559112,0,r,R,56.68402687871972,43.21706337735444,6.774525165557861,29.95176887512207,3380.538818359375,47.305904388427734,1.9682306051254272,59.35337448120117,106,0.010191726498305798,0.005437714979052544,650.0,63.0,187.0,1.9675322854882138,136.0,150.0,121.0,118.0,46.0,182.0
2020wnt,20211005,79559113,0,r,R,56.684041654339374,43.21710649886137,8.08096694946289,29.997758865356445,3331.03173828125,46.687381744384766,1.8734599351882935,56.59476852416992,108,0.00983850471675396,0.005178673658519983,650.0,58.0,175.0,1.8717763510916756,135.0,150.0,124.0,124.0,49.0,179.0
2020wnt,20211005,79559114,0,i,I,56.68410355660669,43.217084367688635,9.70780086517334,29.819894790649414,1586.945068359375,35.1375732421875,1.8792730569839478,53.00363540649414,111,0.00980350561439991,0.004791930317878723,650.0,53.0,209.0,1.8789651004356946,136.0,155.0,152.0,151.0,50.0,197.0
2020wnt,20211005,79559115,0,i,I,56.684145335344375,43.217137424411824,11.527949333190918,29.81141471862793,1636.5787353515625,35.479373931884766,1.9016547203063965,55.10495376586914,112,0.012345080263912678,0.006919148378074169,650.0,55.0,214.0,1.9012704332199797,135.0,152.0,156.0,153.0,45.0,195.0
2020wnt,20211010,79610147,0,r,R,56.67192981116655,43.2080998740971,5.932888507843018,25.85541343688965,28.79353904724121,6.7015581130981445,2.682140588760376,99.22843170166016,52,0.032532960176467896,0.020614609122276306,10.0,58.0,7.0,2.6831053535184215,66.0,78.0,52.0,52.0,0.0,86.0
2020wnt,20211014,79652117,0,i,I,56.68852962397467,43.2131896117349,7.4979753494262695,25.49216079711914,29.61935043334961,11.719182968139648,3.200713634490967,156.6387481689453,14,0.038606368005275726,0.01700916327536106,10.0,42.0,11.0,3.1967871078793033,16.0,22.0,39.0,38.0,8.0,25.0
2020wnt,20211014,79652118,0,r,R,56.688636749967294,43.21315758641,8.369494438171387,30.365388870239258,1908.8924560546875,36.199432373046875,2.248277187347412,79.54461669921875,90,0.008916349150240421,0.004008669871836901,650.0,50.0,240.0,2.248056210005371,125.0,145.0,113.0,103.0,47.0,177.0
2020wnt,20211014,79652119,0,r,R,56.68863615208877,43.213170621622325,10.031604766845703,30.364093780517578,1939.7891845703125,36.69652557373047,2.2615842819213867,81.65833282470703,94,0.008234117180109024,0.004024381749331951,650.0,47.0,198.0,2.26032700289887,126.0,148.0,112.0,106.0,42.0,180.0
2020wnt,20211014,79652120,0,i,I,56.688660725605835,43.21317842873673,11.926929473876953,30.02368927001953,1742.966064453125,35.8458137512207,2.1374518871307373,73.4677963256836,109,0.012355145066976547,0.006511109881103039,650.0,49.0,200.0,2.136539181591452,134.0,152.0,148.0,143.0,37.0,199.0
2020wnt,20211014,79652121,0,i,I,56.68865535785838,43.21318265252528,13.846805572509766,30.028039932250977,1768.863037109375,35.81303787231445,2.0449464321136475,69.15899658203125,115,0.012133993208408356,0.006806705147027969,650.0,51.0,205.0,2.0449870486425996,143.0,161.0,144.0,141.0,56.0,211.0
2020wnt,20211019,79703141,0,r,R,56.68375502680046,43.2120307022498,8.841971397399902,25.81584930419922,85.60494232177734,8.99414348602295,2.360701560974121,96.29582977294922,46,0.03377078101038933,0.015627089887857437,10.0,52.0,6.0,2.3599961268298277,56.0,59.0,51.0,51.0,6.0,69.0
2020wnt,20211019,79703146,0,r,R,56.68391411432237,43.2124880131863,14.341880798339844,30.3530330657959,5740.83251953125,65.000732421875,2.3946125507354736,89.89751434326172,77,0.010250660590827465,0.005158723797649145,650.0,59.0,205.0,2.3936916178800325,98.0,111.0,111.0,109.0,28.0,134.0
2020wnt,20211019,79703147,0,r,R,56.68390228644009,43.21250932164307,16.33395767211914,30.33156394958496,5777.56494140625,65.41778564453125,2.3923566341400146,94.91593170166016,72,0.011174444109201431,0.006717055104672909,650.0,58.0,159.0,2.3909395057899956,93.0,108.0,106.0,103.0,22.0,133.0
2020wnt,20211019,79703148,0,i,I,56.68394774685459,43.212579646099336,18.39484214782715,30.018888473510742,3646.25830078125,53.003761291503906,2.3039674758911133,83.033203125,83,0.01071095559746027,0.00549114216119051,650.0,54.0,181.0,2.3036713302614045,110.0,129.0,122.0,119.0,32.0,170.0
2020wnt,20211019,79703149,0,i,I,56.68392991288666,43.21261329728074,20.443679809570312,30.018260955810547,3664.431640625,53.248779296875,2.289154529571533,83.20188903808594,94,0.011955790221691132,0.006417746655642986,650.0,55.0,190.0,2.2888879725024194,122.0,138.0,121.0,118.0,33.0,173.0
2020wnt,20211028,79796139,0,r,R,56.69143946450874,43.22427594187201,15.077083587646484,25.778261184692383,41.06631088256836,7.638604640960693,2.1413002014160156,75.13072204589844,48,0.02656443975865841,0.014434431679546833,10.0,58.0,9.0,2.137666346515322,61.0,62.0,50.0,50.0,4.0,69.0
2020wnt,20211028,79796142,0,r,R,56.6917496188783,43.22448449445425,20.53502655029297,30.27422332763672,2843.793701171875,45.581642150878906,2.6929938793182373,114.81248474121094,75,0.010360054671764374,0.004911328200250864,650.0,54.0,171.0,2.6921838319313847,100.0,117.0,103.0,96.0,27.0,144.0
2020wnt,20211028,79796143,0,r,R,56.691733660489646,43.22450973808613,22.59784507751465,30.261987686157227,2924.278564453125,44.70654296875,2.9135138988494873,132.75038146972656,65,0.01194771844893694,0.008883124217391014,650.0,55.0,189.0,2.912384868491121,83.0,94.0,95.0,89.0,20.0,117.0
2020wnt,20211028,79796144,0,i,I,56.69172784941021,43.22453339759439,24.872400283813477,29.924741744995117,2780.054443359375,49.15556716918945,2.656773567199707,106.17633056640625,61,0.01232401467859745,0.007986169308423996,650.0,53.0,204.0,2.6561638870581907,80.0,91.0,106.0,101.0,30.0,118.0
2020wnt,20211028,79796145,0,i,I,56.69164706507993,43.224565510041835,26.948654174804688,29.903928756713867,2812.802490234375,50.48417282104492,2.7895314693450928,122.90486907958984,43,0.011731783859431744,0.006312869023531675,650.0,53.0,173.0,2.789422412399856,51.0,64.0,100.0,98.0,19.0,83.0
2020wnt,20211031,79827116,0,r,R,56.68518499849013,43.222481475847246,19.766952514648438,25.777372360229492,27.795175552368164,6.678943157196045,2.404026508331299,130.5800323486328,43,0.031117213889956474,0.016492733731865883,10.0,56.0,10.0,2.410392130560642,51.0,56.0,49.0,49.0,3.0,68.0
2020wnt,20211031,79827117,0,r,R,56.68517984574872,43.22262572325324,20.192031860351562,25.78474998474121,28.75459861755371,7.133437633514404,2.7680234909057617,141.99490356445312,37,0.04058985412120819,0.022470103576779366,10.0,49.0,7.0,2.7641266149506696,46.0,51.0,43.0,43.0,7.0,64.0
2020wnt,20211031,79827120,0,r,R,56.68499559433387,43.222685269598635,26.152002334594727,30.337549209594727,2083.19580078125,39.286903381347656,2.6952781677246094,110.0547866821289,50,0.01136667001992464,0.0075928992591798306,650.0,53.0,223.0,2.6997491257653454,88.0,106.0,103.0,87.0,29.0,126.0
2020wnt,20211031,79827121,0,r,R,56.684959091867306,43.22268934492662,28.234384536743164,30.332393646240234,2146.5146484375,38.69459915161133,2.78004789352417,126.17189025878906,58,0.02140209637582302,0.009621418081223965,650.0,51.0,189.0,2.7804424640955507,88.0,97.0,105.0,89.0,14.0,123.0
2020wnt,20211031,79827122,0,i,I,56.68500883465757,43.22272106631409,30.497392654418945,29.99108123779297,1999.014404296875,42.109100341796875,2.5947561264038086,117.41450500488281,58,0.013501785695552826,0.009971555322408676,650.0,47.0,202.0,2.597262568574179,84.0,97.0,116.0,105.0,29.0,125.0
2020wnt,20211031,79827123,0,i,I,56.684997061031225,43.22277662057442,32.57318115234375,29.99756622314453,2058.22900390625,43.13566970825195,2.770596981048584,127.53073120117188,29,0.0296795591711998,0.015547874383628368,650.0,43.0,180.0,2.77134157385372,50.0,58.0,106.0,90.0,14.0,77.0
2020wnt,20211112,79949136,0,i,I,56.6770812308328,43.23653365199985,45.06822967529297,30.031234741210938,2177.68896484375,41.379085540771484,1.970907211303711,62.40180206298828,102,0.011856375262141228,0.007069161161780357,650.0,52.0,173.0,1.9710800267315312,140.0,149.0,157.0,146.0,55.0,195.0
2020wnt,20211112,79949137,0,i,I,56.67703741741965,43.236692217948985,47.079158782958984,30.031829833984375,2270.4482421875,41.99143600463867,1.6601141691207886,43.08004379272461,107,0.008266332559287548,0.004813100211322308,650.0,52.0,156.0,1.6589532550543256,136.0,140.0,177.0,169.0,59.0,178.0
2020wnt,20211114,79970138,0,r,R,56.663228141607384,43.21297876559886,36.38271713256836,25.81002426147461,41.83441925048828,8.31489086151123,1.9966453313827515,71.45477294921875,55,0.02963736280798912,0.018998591229319572,10.0,73.0,13.0,1.9962720730768977,65.0,67.0,67.0,67.0,5.0,76.0
2020wnt,20211114,79970141,0,r,R,56.66297020485138,43.21322837104078,42.615604400634766,30.321027755737305,3007.07958984375,60.0554084777832,2.3892602920532227,93.19943237304688,60,0.010919205844402313,0.005713390186429024,650.0,64.0,168.0,2.388730010327435,79.0,88.0,124.0,118.0,10.0,106.0
2020wnt,20211114,79970142,0,r,R,56.6628906672714,43.21324029063432,44.6424446105957,30.310466766357422,3257.23486328125,51.076629638671875,2.510586738586426,104.2641372680664,89,0.011299390345811844,0.00506708724424243,650.0,60.0,197.0,2.510688490104465,120.0,138.0,116.0,112.0,19.0,172.0
2020wnt,20211114,79970143,0,i,I,56.662986740824365,43.2132765738544,46.683433532714844,29.935131072998047,2356.787841796875,44.25233459472656,2.5647528171539307,109.74005126953125,87,0.01276326458901167,0.007641347590833902,650.0,60.0,203.0,2.5650275534235263,114.0,131.0,131.0,121.0,23.0,164.0
